epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8845,1.15457,5.87712,1.21448,0.36039,0.03307,0.0114,0.00877,1.22431,4.27299,1.11943,5.25954e-05,5.25954e-05,5.25954e-05
2,55.2535,0.98832,4.04436,1.12091,0.51222,0.0731,0.06303,0.05599,1.19386,3.40981,1.0806,0.000103505,0.000103505,0.000103505
3,83.4997,1.04205,3.62035,1.12362,0.36885,0.10447,0.06003,0.04434,1.18055,3.14744,1.07322,0.000152315,0.000152315,0.000152315
4,111.39,0.97798,3.29854,1.10791,0.42781,0.09131,0.06208,0.04792,1.1911,3.05334,1.06743,0.000149555,0.000149555,0.000149555
5,150.883,1.00262,3.05724,1.10236,0.36159,0.12931,0.08599,0.06388,1.18811,2.94913,1.06389,0.000146407,0.000146407,0.000146407
6,177.308,0.98741,2.85399,1.0732,0.4094,0.11032,0.08643,0.06557,1.18133,2.92427,1.06116,0.000143259,0.000143259,0.000143259
7,203.627,0.9628,2.77507,1.06564,0.3826,0.19009,0.09997,0.07916,1.1641,2.85453,1.06148,0.000140111,0.000140111,0.000140111
8,230.35,0.943,2.62014,1.06383,0.41051,0.14647,0.0848,0.0654,1.17978,2.85714,1.05804,0.000136963,0.000136963,0.000136963
9,257.723,0.91651,2.47267,1.04366,0.35849,0.16337,0.09556,0.07538,1.18889,2.78303,1.07618,0.000133814,0.000133814,0.000133814
10,285.235,0.89395,2.32565,1.04374,0.47782,0.10578,0.09511,0.07259,1.17922,2.91323,1.05556,0.000130666,0.000130666,0.000130666
11,312.381,0.87948,2.27102,1.03247,0.4238,0.10116,0.09502,0.07365,1.14279,2.81043,1.04071,0.000127518,0.000127518,0.000127518
12,340.345,0.8904,2.20229,1.0251,0.33826,0.16076,0.11748,0.09455,1.18693,2.84562,1.05777,0.00012437,0.00012437,0.00012437
13,367.376,0.88622,2.08417,1.02611,0.27456,0.16576,0.1149,0.09134,1.16215,2.85843,1.04769,0.000121222,0.000121222,0.000121222
14,393.855,0.86505,2.03971,1.01698,0.41724,0.16127,0.11102,0.08596,1.1724,2.90556,1.05881,0.000118073,0.000118073,0.000118073
15,420.257,0.83211,1.89776,1.00002,0.36724,0.1155,0.10876,0.08516,1.14073,2.86835,1.04666,0.000114925,0.000114925,0.000114925
16,446.742,0.82666,1.87306,0.99987,0.41333,0.12878,0.10394,0.08458,1.18786,3.13229,1.06872,0.000111777,0.000111777,0.000111777
17,473.26,0.86315,1.85147,1.0048,0.4266,0.13602,0.11524,0.09421,1.15518,2.90934,1.05691,0.000108629,0.000108629,0.000108629
18,499.711,0.83241,1.74345,0.99328,0.33506,0.16773,0.10711,0.08537,1.1534,2.88892,1.05413,0.000105481,0.000105481,0.000105481
19,526.17,0.83802,1.73698,1.00281,0.32845,0.15239,0.1135,0.08795,1.16997,2.94993,1.06615,0.000102332,0.000102332,0.000102332
20,553.058,0.80988,1.68173,0.99293,0.29474,0.1523,0.10076,0.07632,1.15887,2.9042,1.06424,9.91842e-05,9.91842e-05,9.91842e-05
21,580.49,0.84196,1.6291,1.00894,0.31516,0.17689,0.1163,0.09268,1.18778,2.91005,1.07801,9.6036e-05,9.6036e-05,9.6036e-05
22,606.955,0.8181,1.61771,0.99064,0.38016,0.13998,0.11761,0.09485,1.18051,2.84925,1.07193,9.28878e-05,9.28878e-05,9.28878e-05
23,633.5,0.81,1.55552,0.9777,0.27628,0.18174,0.11156,0.08842,1.1975,2.94896,1.07648,8.97396e-05,8.97396e-05,8.97396e-05
24,660.007,0.76623,1.46521,0.96575,0.3617,0.1484,0.12096,0.09602,1.18827,2.83111,1.07723,8.65914e-05,8.65914e-05,8.65914e-05
25,686.55,0.77977,1.46882,0.97047,0.38743,0.13043,0.11376,0.08924,1.18274,2.87724,1.06056,8.34432e-05,8.34432e-05,8.34432e-05
26,713.046,0.77327,1.39149,0.97324,0.27893,0.164,0.11311,0.09064,1.15796,2.89096,1.06186,8.0295e-05,8.0295e-05,8.0295e-05
27,739.557,0.79312,1.39183,0.98009,0.46275,0.10445,0.11288,0.09036,1.17765,2.94897,1.06936,7.71468e-05,7.71468e-05,7.71468e-05
28,766.073,0.76596,1.33692,0.964,0.37167,0.1525,0.1077,0.08163,1.1765,2.94647,1.05493,7.39986e-05,7.39986e-05,7.39986e-05
29,792.558,0.75888,1.31129,0.9607,0.4608,0.12104,0.12752,0.10503,1.17917,2.93006,1.06649,7.08504e-05,7.08504e-05,7.08504e-05
30,819.128,0.74803,1.31387,0.96561,0.30945,0.17019,0.11998,0.09554,1.18268,2.93068,1.0756,6.77022e-05,6.77022e-05,6.77022e-05
31,845.649,0.75042,1.24933,0.95972,0.24043,0.16199,0.11591,0.09431,1.16308,2.93322,1.06442,6.4554e-05,6.4554e-05,6.4554e-05
32,872.165,0.75686,1.2829,0.96929,0.38023,0.13106,0.11574,0.09338,1.1757,2.95433,1.06736,6.14058e-05,6.14058e-05,6.14058e-05
33,898.745,0.72178,1.23063,0.95332,0.2286,0.18963,0.12632,0.10018,1.17556,2.96431,1.07533,5.82576e-05,5.82576e-05,5.82576e-05
34,925.267,0.72726,1.17344,0.94532,0.28524,0.18435,0.10928,0.08478,1.1589,2.95816,1.06257,5.51094e-05,5.51094e-05,5.51094e-05
35,951.774,0.72445,1.11841,0.93595,0.26505,0.17215,0.11089,0.09021,1.17029,2.97563,1.06605,5.19612e-05,5.19612e-05,5.19612e-05
36,978.284,0.71284,1.12217,0.93822,0.39621,0.1098,0.10579,0.08503,1.17734,2.97006,1.06842,4.8813e-05,4.8813e-05,4.8813e-05
37,1004.77,0.72233,1.12116,0.94411,0.36611,0.11947,0.11086,0.08867,1.18654,2.93955,1.0761,4.56648e-05,4.56648e-05,4.56648e-05
